
[Thu, 03 Sep 2015 11:00:31 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to smtp.hostaccount.com:587 [SMTP: Invalid response code received from server (code: 421, response: 4.3.2 The maximum number of concurrent connections has exceeded a limit, closing transmission channel)]. CLAIM ID: 3753. LOCATION ID: 4179, FROM: kingstree24reports@kingstree.net, MAIL_CONFIG_ID: 39
[Fri, 11 Sep 2015 09:48:51 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.ontopcorp.com:587 [SMTP: Invalid response code received from server (code: -1, response: )]. CLAIM ID: 3898. LOCATION ID: 5960, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:02:21 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:02:21 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:02:50 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:02:56 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:02:57 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:02:57 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:03:40 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:03:42 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:03:43 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:03:43 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:04:24 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:04:26 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:04:27 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:04:27 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:05:05 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:05:06 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:05:07 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 05:05:08 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4158. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 09:45:29 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4244. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 09:45:29 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4244. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 09:45:30 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4244. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Fri, 25 Sep 2015 09:45:30 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.[somecompany].com:25 [SMTP: Failed to connect socket: php_network_getaddresses: getaddrinfo failed: Name or service not known (code: -1, response: )]. CLAIM ID: 4244. LOCATION ID: 1752, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 7
[Mon, 12 Oct 2015 14:36:14 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to smtp.hostaccount.com:587 [SMTP: Invalid response code received from server (code: 421, response: 4.3.2 The maximum number of concurrent connections has exceeded a limit, closing transmission channel)]. CLAIM ID: 4569. LOCATION ID: 5412, FROM: kingstree24reports@kingstree.net, MAIL_CONFIG_ID: 39
[Mon, 12 Oct 2015 14:36:15 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to smtp.hostaccount.com:587 [SMTP: Invalid response code received from server (code: 421, response: 4.3.2 The maximum number of concurrent connections has exceeded a limit, closing transmission channel)]. CLAIM ID: 4569. LOCATION ID: 5412, FROM: kingstree24reports@kingstree.net, MAIL_CONFIG_ID: 39
[Mon, 12 Oct 2015 14:36:15 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to smtp.hostaccount.com:587 [SMTP: Invalid response code received from server (code: 421, response: 4.3.2 The maximum number of concurrent connections has exceeded a limit, closing transmission channel)]. CLAIM ID: 4569. LOCATION ID: 5412, FROM: kingstree24reports@kingstree.net, MAIL_CONFIG_ID: 39
[Tue, 13 Oct 2015 10:33:30 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to smtp.hostaccount.com:587 [SMTP: Invalid response code received from server (code: 421, response: 4.3.2 The maximum number of concurrent connections has exceeded a limit, closing transmission channel)]. CLAIM ID: 4585. LOCATION ID: 4353, FROM: kingstree24reports@kingstree.net, MAIL_CONFIG_ID: 39
[Fri, 16 Oct 2015 16:33:36 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to send data [SMTP: Invalid response code received from server (code: 550, response: 5.7.1 Client does not have permissions to send as this sender)]. CLAIM ID: 4666. LOCATION ID: 127, FROM: incident@wccamerica.com, MAIL_CONFIG_ID: 45
[Fri, 16 Oct 2015 16:33:39 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to send data [SMTP: Invalid response code received from server (code: 550, response: 5.7.1 Client does not have permissions to send as this sender)]. CLAIM ID: 4666. LOCATION ID: 127, FROM: incident@wccamerica.com, MAIL_CONFIG_ID: 45
[Fri, 23 Oct 2015 17:54:41 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to send data [SMTP: Invalid response code received from server (code: 550, response: 5.7.1 Client does not have permissions to send as this sender)]. CLAIM ID: 4664. LOCATION ID: 127, FROM: incident@wccamerica.com, MAIL_CONFIG_ID: 45
[Fri, 23 Oct 2015 17:54:41 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to send data [SMTP: Invalid response code received from server (code: 550, response: 5.7.1 Client does not have permissions to send as this sender)]. CLAIM ID: 4664. LOCATION ID: 127, FROM: incident@wccamerica.com, MAIL_CONFIG_ID: 45
[Fri, 23 Oct 2015 17:54:41 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to send data [SMTP: Invalid response code received from server (code: 550, response: 5.7.1 Client does not have permissions to send as this sender)]. CLAIM ID: 4664. LOCATION ID: 127, FROM: incident@wccamerica.com, MAIL_CONFIG_ID: 45
[Fri, 23 Oct 2015 17:54:42 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to send data [SMTP: Invalid response code received from server (code: 550, response: 5.7.1 Client does not have permissions to send as this sender)]. CLAIM ID: 4664. LOCATION ID: 127, FROM: incident@wccamerica.com, MAIL_CONFIG_ID: 45
[Fri, 23 Oct 2015 17:54:42 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to send data [SMTP: Invalid response code received from server (code: 550, response: 5.7.1 Client does not have permissions to send as this sender)]. CLAIM ID: 4664. LOCATION ID: 127, FROM: incident@wccamerica.com, MAIL_CONFIG_ID: 45
[Fri, 30 Oct 2015 07:52:06 -0700] PEAR MAIL ERROR IN sendClaimSubmitedNoticeEmail(): Failed to connect to mail.ontopcorp.com:587 [SMTP: Failed to connect socket: Connection refused (code: -1, response: )]. CLAIM ID: 4757. LOCATION ID: 1382, FROM: reports@triagenow.net, MAIL_CONFIG_ID: 37
